No,id,en,th,Type,Function / Location
1,search,Search,ค้นหา,Button,Search
2,my_account,My Account,บัญชีของฉัน,Button,My Account
3,login,Log in,ลงชื่อเข้าใช้,Button,Log in
4,logout,Log out,ออกจากระบบ,Button,Log out
5,demand_offer,Demands & Offers,ความต้องการและข้อเสนอ,Title,Top title
6,suggestion,Suggestions,ตัวเลือกในหมวดนี้,Title,Suggestion
7,search_result,Search results,ผลการค้นหาของ,Title,Search result
8,demand_title,Demand(s),ความต้องการ,Title,eg. ความต้องการ 152
9,offer_title,Offer(s),ข้อเสนอ,Title,eg. ข้อเสนอ 312
10,create_demand_button,Create Demand,ลงประกาศตามหา,Button,Create demand
11,creating_demand,Creating Demand,ประกาศตามหา,Title,Create demand
12,looking_for_field,What are you looking for?,สิ่งที่ตามหา,Field title,Demand title
13,confirm_create_demand,Create Demand,เริ่มตามหา,Button,Confirm creating demand
14,create_offer_button,Create Offer,ลงประกาศข้อเสนอ,Button,Create offer
15,creating_offer,Creating Offer,ประกาศข้อเสนอ,Title,Create offer
16,offering_field,What are you offering?,ข้อเสนอของคุณ,Field title,Offer title
17,confirm_create_offer,Create Offer,สร้างข้อเสนอ,Button,Confirm creating offer
18,looking_for_header,Looking for,กำลังตามหา,Headers,header ของแต่ละ demand
19,suggest_creating_demand_title,Still can't find product you are looking for?,ยังไม่เจอสิ่งที่คุณต้องการ?,Title,Suggest creating demand
20,suggest_creating_demand_body,So we can help you look further for more offers\COMMA\ and let other merchants provide offer(s) to you,เพื่อให้เราทำการค้นหาต่อโดยอัตโนมัติ และสามารถให้ร้านค้าอื่นๆ เสนอสินค้าให้คุณได้โดยตรง,Body,Suggest creating demand
21,suggest_creating_offer_title,Want to make an offer?,ต้องการเสนอขายสินค้าประเภทนี้?,Title,Suggest creating offer
22,suggest_creating_offer_body,So we can help spreading the offers to more people that may be interested,เพื่อให้เราส่งต่อข้อเสนอขายไปยังลูกค้าที่สนใจ,Body,Suggest creating offer
23,search_title,Search products or demands,ค้นหาสินค้า หรือ ความต้องการซื้อ,Title,Homepage
24,search_placeholder,Search products,ค้นหาสินค้าที่ต้องการ,Field title,Searchbar header
25,confirm_login,Log in,เข้าสู่ระบบ,Button,Confirm Login
26,forget_password,Forget Password?,ลืมรหัสผ่าน?,,Login/Register
27,create_new_account,Create new account,สร้างบัญชีใหม่,,Login/Register
28,confirm_term,*I have read\COMMA\ understand and accept the terms and conditions of Mark8,*ฉันได้อ่านและเข้าใจนโยบายข้อมูลส่วนบุคคลของ Mark8 แล้ว,,Login/Register
29,email,Email,อีเมล์,,Login/Register
30,password,Password,รหัสผ่าน,,Login/Register
31,confirm_password,Confirm Password,ยืนยันรหัสผ่าน,,Login/Register
32,or,Or,หรือ,,Login/Register
33,login_by_facebook,Register or Log in by Facebook,ลงทะเบียน หรือ เข้าระบบด้วย Facebook,,Login/Register
34,filter,Filter,ตัวกรอง,,Search Result
35,see_more,See more,ดูเพิ่มเติม,,Search Result
36,order_by,Order By: ,เรียงลำดับโดย: ,,Search Result
37,display,Display: ,การแสดงผล: ,,Search Result
38,see_demand,See other Demands,ดูสิ่งที่คนอื่นตามหา,,
39,see_offer,See other Offers,ดูข้อเสนออื่นๆ,,
40,contact_buyer,Contact Buyer,ติดต่อคนซื้อ,,
41,contact_seller,Contact Seller,ติดต่อคนขาย,,
42,contact_info,Contact Infomation, ข้อมูลติดต่อ,,
43,name,Name,ชื่อ,,
44,tel_no,Tel. number,เบอร์โทรศัพท์,,
45,member_info,Member Infomation,ข้อมูลสมาชิก,,
46,member_id,Member ID,หมายเลขสมาชิก,,
47,profile_pic,Profile Picture,รูปโปรไฟล์,,
48,delete_profile_pic,Delete Profile Picture,ลบรูปโปรไฟล์,,
49,save,Save,บันทึก,,
50,my_demand,My Demands,ความต้องการของฉัน,,
51,edit_demand,Edit Demand,แก้ไขความต้องการ,,
52,demand_header,Demand Title,หัวข้อความต้องการ,,
53,demand_desc,Tell us what do you want...,บอกเราเกี่ยวกับสิ่งที่คุณต้องการ...,,
54,desc,More description,รายละเอียด,,
55,product_pic,Photos,รูป,,
56,remove_pic,Remove all photos,ล้างรูปทั้งหมด,,
57,my_offer,My Offers,ข้อเสนอของฉัน,,
58,edit_offer,Edit Offer,แก้ไขประกาศข้อเสนอ,,
59,price,Price,ราคา,,
60,offer_header,Offer Title,หัวข้อของข้อเสนอ,,
61,offer_desc,Tell us about your offer...,บอกเราเกี่ยวกับสินค้าที่คุณจะเสนอ..,,
62,demand_date,Created Date,วันที่ลงประกาศ,,
63,demand_deleted,Demand Deleted,ลบประกาศแล้ว,,
64,demand_deleted_date,Demand Deleted Date,วันที่ลบประกาศ,,
65,edit,Edit,แก้ไข,,
66,delete,Delete,ลบประกาศ,,
67,demand_info,Demand Infomation,ข้อมูลประกาศ,,
68,delete_confirm,Delete Confirmation,ลบรายการออกจากเพจประกาศ,,
69,delete_question,Want to delete this?,คุณต้องการที่จะลบรายการประกาศนี้ใช่หรือไม่?,,
70,my_demand_header,My Demands,รายการตามหา,,
71,my_offer_header,My Offers,รายการข้อเสนอ,,
72,home,Home,หน้าหลัก,,
73,create,Create offer,ลงประกาศ,,
74,home_create_demand_title,Buying,ต้องการซื้อ,,Homepage
75,home_create_demand_desc,Creating Demand to get anything you want!,อยากได้อะไร เริ่มตามหาได้เลย,,Homepage
76,home_create_offer_title,Start Selling!,ต้องการขาย,,Homepage
77,home_create_offer_desc,Create your Offer now!,เสนอขายให้คนที่กำลังตามหา และเริ่มขายได้เลย,,Homepage
78,home_demand_title,Creating Demand,ตามหา,,Homepage
79,home_demand_desc,for things you want,สิ่งคุณต้องการ,,Homepage
80,home_offer_title,Sending Offer,ส่งข้อเสนอ,,Homepage
81,home_offer_desc,to those who need,ให้กับคนที่ตามหา,,Homepage
82,no_result_header,Still not found,ยังไม่พบประกาศของ,,No result page
83,no_result_desc,Let mark8 find what you want. Easy just,ให้ mark8 หาสิ่งที่คุณต้องการ ง่ายๆเพียงแค่,,No result page
84,no_result_result,Example offers,ตัวอย่างผลลัพธ์,,No result page
85,new,New,ใหม่,,No result page
86,budget,Budget,งบประมาณ,,
87,recomended_list,Recommendation for you,รายการแนะนำ,,
88,account_infomation,Account Infomation,ข้อมูลส่วนตัว,,Account
89,create_button,Create,สร้างประกาศ,,Create page
90,cancel,Cancel,ยกเลิก,,Create page
91,confirm,Confirm,ยืนยัน,,Account
92,country,Country,ประเทศ,,Account
93,province,Province,จังหวัด,,Account
94,state,State,เขต,,Account
95,upload_pic,Upload picture,อัพโหลดรูป,,
96,baht,฿,บาท,,
97,notification,Notifications,แจ้งเตือน,,Notification
98,mark_as_read,Mark All as Read,ทำเครื่องหมายว่าอ่านแล้วทั้งหมด,,Notification
99,no_noti,No new notification,ยังไม่มีการแจ้งเตือนใหม่ๆในตอนนี้,,Notification
100,offering,Offer,ยื่นข้อเสนอ,,
101,short_desc,Short Description,ข้อมูลแบบย่อ,,
102,show_more,Show more,แสดงเพิ่มเติม,,
103,show_less,Show less,แสดงน้อยลง,,
104,contact,Contact,ติดต่อ,,
105,offering_header,Offering,กำลังเสนอ,,
106,adjacent_item,Similar products,รายการที่ใกล้เคียง,,
107,create_page_demand_title,Tell us what you looking for,บอกเราว่าคุณต้องการ ตามหา อะไร,,Create demand page
108,create_page_offer_title,Tell us what you're selling,เพิ่่มชื่อสินค้าที่ต้องการขาย,,Create offer page
109,create_my_item,Create my own,สร้างรายการเอง,,Create page
110,choose,Choose,เลือก,,Create page
111,start_creating,Continue,เริ่มสร้างประกาศ,,Create page
112,create_desc,Product description,รายละเอียดประกาศ,,Create page
113,create_header,Title,หัวข้อ,,Create page
114,purpose,Purpose,จุดประสงค์,,Create page
115,buy_or_rent,Buy or Rent,ซื้อหรือเช่า,,Create page
116,sell_or_rent,Sell or Rent,ขายหรือให้เช่า,,Create page
117,specify_price,Specifiy the price that you want,ระบุราคาที่ต้องการ,,Create page
118,tel_no_placeholder,Your phone number,เบอร์ติดต่อของคุณ,,Create page
119,line_placeholder,Specify your LINE ID,ระบุ LINE ID ของคุณ,,Create page
120,specify_address,Specify your address,ระบุที่อยู่คุณ,,Create page
121,choose_state,Choose the state,เลือกเขต,,Create page
122,create_fail,Failed to create,สร้างประกาศไม่สำเร็จ,,Create page
123,choose_to_create,Choose to create,เลือกสร้างประกาศ,,Create page
124,demand,Demand,ตามหา,,Create page
125,offer,Offer,ข้อเสนอ,,Create page
126,for_result,so our A.I. can start helping you,เพื่อให้ A.I. ของเราช่วยคุณ,,Create page
127,create_verb,Create,ประกาศ,,Create page
128,buy,Buy,ซื้อ,,Create page
129,rent,Rent,เช่า,,Create page
130,sale,Sell,ขาย,,Create page
131,demand_list,Demand list,รายการประกาศตามหา,,Dashboard
132,offer_list,Offer list,รายการประกาศข้อเสนอ,,Dashboard
133,no_list,You still not have any Demand/Offer,คุณยังไม่มีรายการประกาศ,,Dashboard
134,item,Item(s),รายการ,,Dashboard
135,create_date,Created on,ประกาศเมื่อ,,Dashboard
136,progress,Progress,ความคืบหน้า,,Dashboard
137,nearby,Similar,ใกล้เคียง,,Dashboard
138,back,Back,กลับ,,Dashboard
139,next_page,Next page,หน้าต่อไป,,Dashboard
140,demanding,Have demand,กำลังตามหา,,Dashboard
141,click,Click,คลิ๊ก,,Dashboard
142,watch,View,ดู,,Dashboard
143,interesting,Interesting,สนใจ,,Dashboard
144,change_lang,เปลี่ยนภาษา,Change Language,,Mobile Submenu
155,specify_budget,Specify your Budget,ระบุงบประมาณของคุณ,,Create page
156,step_1,Register or Log in by Facebook FREE ,ลงทะเบียน หรือ เข้าระบบด้วย Facebook ฟรี,,No result page
157,step_2,Let mark8 help find things you want\COMMA\ just click CREATE,ให้ Mark8 ตามหาสิ่งที่คุณต้องการ เพียงคลิ๊ก ประกาศตามหา,,No result page
158,step_3,See new Offers everyday,เลือกดูข้อเสนอใหม่ๆ ได้ทุกวัน,,No result page
159,step_4,Contact Seller now,ติดต่อคนขายเลย,,No result page
160,no_result,System collecting \QUOTE\{ query }\QUOTE\ for you,ระบบกำลังรวมรวบข้อมูล \QUOTE\{ query }\QUOTE\ ให้คุณอยู่,,No result page
161,specify_area,Specify Room size,ระบุขนาดห้อง,,Create page
162,bathroom,Bathroom(s),จำนวนห้องน้ำ,,Create page
163,specify_bathroom,Sepecify number of Bathroom(s),ระบุจำนวนห้องน้ำ,,Create page
164,area,Room size,ขนาดห้อง,,Create page
165,area_unit,Sq. m,ตารางเมตร,,Create page
166,room_unit,Room(s),ห้อง,,Create page
167,bedroom,Bedroom(s),จำนวนห้องนอน,,Create page
168,specify_bedroom,Sepecify number of bedroom(s),ระบุจำนวนห้องนอน,,Create page
169,invalid_login,Invalid Username or Password,กรุณาใส่ผู้ใช้และรหัสให้ถูกต้อง,,Login/Register
170,email_invalid,Invalid email address,อีเมล์ไม่ถูกต้อง,,Login/Register
171,password_empty,The Password field is required,กรุณาใส่รหัสผ่าน,,Login/Register
172,password_mismatch,Passwords mismatch,ยืนยันรหัสผ่านไม่ถูกต้อง,,Login/Register
173,email_existed,This username or email is already existed. Try Another.,ชื่อผู้ใช้หรืออีเมล์ถูกใช้งานไปแล้ว โปรดลองชื่ออื่น,,Login/Register
174,uncategorized_mobilephone,Cell Phones & Accessories,มือถือ และ อุปกรณ์เสริม,,Create Demand Modal
175,uncategorized_computer,Computers\COMMA\ Tablets & Networking,คอมพิวเตอร์ แท็บเล็ต และ อุปกรณ์เน็ตเวิร์ค,,Create Demand Modal
176,uncategorized_electronic,Electronics,อิเล็กโทรนิกส์,,Create Demand Modal
177,uncategorized_camera,Camera\COMMA\ Photo & Video,ถ่ายภาพและวิดีโอ,,Create Demand Modal
178,uncategorized_fashion,Fashion,แฟชั่น,,Create Demand Modal
179,uncategorized_health,Beauty\COMMA\ Health & Personal Care,ความงาม สุขภาพ และ ของใช้ส่วนตัว,,Create Demand Modal
180,uncategorized_momandkids,Baby & Mom,แม่และเด็ก,,Create Demand Modal
181,uncategorized_book,Books,หนังสือ,,Create Demand Modal
182,uncategorized_etc,Others,อื่นๆ,,Create Demand Modal
183,loginModal_LoginHeader,Create your mark8 account.  Start enjoing these free benefits.,สมัครใช้งาน mark8 เพื่อรับสิทธิประโยชน์ต่างๆจากเรา ฟรี!,,Login/Register
184,search_icon,Let mark8 look for the item you want,สร้างประกาศให้ mark8 หาสินค้าให้,,Login/Register
185,notification_icon,Notify new offers to you,แจ้งเตือนข้อเสนอให้คุณ,,Login/Register
186,savetime_icon,Save time,ประหยัดเวลา ไม่ต้องหาสินค้าเอง,,Login/Register
187,email_split_label,with email,ด้วยอีเมลล์,,Login/Register
188,yay_finish_title,Yay!,เย้!,,Finish Create Modal
189,success_finish_label,You have successfully created your Demand,คุณสร้างประกาศฝากหาสำเร็จแล้ว,,Finish Create Modal
190,change_email_finish_btn,Change your Notification email,เปลี่ยนอีเมลล์แจ้งเตือน,,Finish Create Modal
191,success_notify_label,We'll notify updated offers to you,เราจะอัพเดทข้อเสนอใหม่ๆให้คุณ,,Finish Create Modal
192,see_post_btn,See your Posts,ดูประกาศของคุณ,,Finish Create Modal
193,ai_search_btn,Looking for...,ฝากเราหาสินค้า,,AI Search Button
194,ai_search_container_label,Never miss great deals\COMMA\ let mark8 find and compare products for you.,ไม่พลาดข้อเสนอดีๆ ในการช้อปปิ้งออนไลน์อีกต่อไป เพียงฝากหาสินค้ากับ mark8,,AI Search Container
195,ai_search_flow_title,No need to spend time searching,ไม่ต้องเสียเวลาหาสินค้าเอง,,Create Demand Modal
196,ai_search_uncategorized_title_2,Select a Category you want,เลือกหมวดหมู่ของประเภทสินค้าที่คุณต้องการฝากหา,,Create Demand Modal
197,ai_search_uncategorized_next_btn,Next,ไปต่อ,,Create Demand Modal
198,ai_search_uncategorized_title_3,Tell us what you are looking for,ระบุชื่อสินค้าที่คุณกำลังหา ระบบเราจะตามหาให้คุณ,,Create Demand Modal
199,below_textfield_label,Looking for,ให้เราตามหา,,Create Demand Modal
200,ai_search_flow_btn,Find Now,ฝากหา,,Create Demand Modal
201,page_ai_search_label,Choose the product you're interested,เลือกสินค้าที่คุณสนใจ,,Create Demand Modal
202,texfield_label,I'm looking for,สิ่งที่คุณต้องการ,,Create Demand Modal
203,create_offer_label,Start Selling now!  It's easy\COMMA\ just click \QUOTE\Sell Now\QUOTE\ button,เริ่มขายได้เลย ง่าย ๆ เพียงแค่ลงประกาศขาย,,Results
204,create_offer_btn,Sell,ประกาศขาย,,Create Offer Button
205,sell_btn,Start Selling,ขายเลย,,Sell Button
206,demand_more_title,See what others want,ดูรายการฝากหาอื่น ๆ,,Result Label
207,unpriced_label,Not specified,ไม่ระบุ,,Unpriced Label
208,name_empty,Please fill in product name,กรุณาใส่ชื่อสินค้า,,Create demand
209,home_header,Let us find it for you!,เราหาให้,,Home
210,total_offer,Total Offers,ข้อเสนอทั้งหมด,,Demand List
211,login_header_submenu,Sign in to mark8,เข้าสู่ระบบ mark8,,Submenu
212,ai_search_uncategorized_placeholder,Category,หมวดหมู่,,Create Demand Modal
213,see_all,See all,ดูทั้งหมด,,Offer List and Demand List
214,search_list_result,Search results,ผลการค้นหา,,
215,user_demand_searching,We're looking for more results...,เรากำลังตามหาให้คุณอยู่ . . .,,User Demand Detail
216,user_demand_header,We're looking for,เรากำลังตามหา,,User Demand Detail
217,user_demand_utility,To get the better results\COMMA\ tell us some more...,เพื่อเพิ่มประสิทธิภาพในการค้นหา ให้เราช่วยคุณ,,User Demand Detail
218,user_demand_add_header,Add details,เพิ่มรายละเอียด,,User Demand Detail
219,user_demand_add_content,Edit or Add descriptions for more accurate results,ปรับเปลี่ยนหรือเพิ่มรายละเอียดของประกาศ เพื่อให้ได้ผลลัพธ์ที่ตรงใจ,,User Demand Detail
220,user_demand_new_header,Find another product,หาสินค้าใหม่ๆ,,User Demand Detail
221,user_demand_new_content,"Want something else?
Let us help you find it also",ไม่ใช่สินค้าที่ต้องการหรอ? ให้เราตามหาสิ่งที่ คุณต้องการ,,User Demand Detail
222,early_access_header_1,Congratulations!,ยินดีด้วย !,,Early Access Modal
223,early_access_header_2,mark8 is ready for you,mark8 พร้อมแล้วสำหรับคุณ,,Early Access Modal
224,early_access_register,Sign up for more with mark8,ลงทะเบียนใช้งานกับ mark8,,Early Access Modal
225,skip,Skip,ข้าม,,Create Demand Modal
226,select_category,Select a Category,เลือกหมวดหมู่,,Create Demand Modal
227,how_to_create_demand_header,How to use mark8,วิธีฝากหาสินค้า,,No result page
228,appliance,Appliance,เครื่องใช้ไฟฟ้า,,Category
229,baby-and-mom,Baby & Mom,แม่และเด็ก,,Category
230,beauty-health-and-personal-care,Beauty\COMMA\ Health & Personal Care,ความงาม สุขภาพ และ ของใช้ส่วนตัว,,Category
231,camera-photo-and-video,Cameras\COMMA\ Photo & Video,ถ่ายภาพและวิดีโอ,,Category
232,cell-phone-and-accessories,Cell Phones & Accessories,มือถือ และ อุปกรณ์เสริม,,Category
233,clothing-shoes-and-accessories,Clothing\COMMA\ Shoes & Accessories,เสื้อผ้า เครื่องแต่งกาย,,Category
234,computers-tablets-and-networking,Computers\COMMA\ Tablets & Networking,คอมพิวเตอร์ แท็บเล็ต และ อุปกรณ์เน็ตเวิร์ค,,Category
235,electronics,Electronics,อิเล็กโทรนิกส์,,Category
236,home-and-garden,Home & Garden,บ้านและสวน,,Category
237,jewerly-and-watches,Jewelry & Watches,เครื่องเพชรพลอย และ นาฬิกาข้อมือ,,Category
238,musical-instrument-and-gear,Musical Instrument & Gear,เครื่องดนตรี,,Category
239,office-electronics-and-supplies,Office Electronics & Supplies,ของใช้ออฟฟิศ,,Category
240,real-estate,Real Estate,อสังหาริมทรัพย์,,Category
241,services,Services,บริการ,,Category
242,sport-outdoor-and-travel-gear,Sports\COMMA\ Outdoors & Travel Gear,กีฬา กิจกรรมกลางแจ้ง และ เดินทาง,,Category
243,tools-home-improvement,Tools & Home Improvement,เครื่องมือ และ อุปกรณ์ช่าง,,Category
244,toys-and-hobbies,Toys & Hobbies,ของเล่น และ งานอดิเรก,,Category
245,video-games-and-console,Video games & Consoles,เกมส์ และ เครื่องเกมส์,,Category
246,others,Others,อื่นๆ,,Category
247,condominium,Condominium,คอนโดมิเนียม,,Category
248,house,House,บ้าน,,Category
249,phra-nakhon,Phra Nakhon,พระนคร,,Category
250,din-daeng,Din Daeng,ดินแดง,,Category
251,khlong-san,Khlong San,คลองสาน,,Category
252,khlong-sam-wa,Khlong Sam Wa,คลองสามวา,,Category
253,khlong-toei,Khlong Toei,คลองเตย,,Category
254,khannayao,Khan Na Yao,คันนายาว,,Category
255,chatuchak,Chatuchak,จตุจัตร,,Category
256,chom-thong,Chom Thong,จอมทอง,,Category
257,don-mueang,Don Mueang,ดอนเมือง,,Category
258,dusit,Dusit,ดุสิต,,Category
259,taling-chan,Taling Chan,ตะลิ่งชัน,,Category
260,thawi-watthana,Thawi Watthana,ทวีวัฒนา,,Category
261,thung-khru,Thung Khru,ทุ่งครุ,,Category
262,thon-buri,Thon Buri,ธนบุรี,,Category
263,bangkok-noi,Bangkok Noi,บางกอกน้อย,,Category
264,auto-car,Auto Car,ยานยนต์,,Category
265,auto-car-toyota,Toyota,Toyota,,Category
266,auto-car-honda,Honda,Honda,,Category
267,auto-car-ford,Ford,Ford,,Category
268,auto-car-isuzu,Isuzu,Isuzu,,Category
269,auto-car-mazda,Mazda,Mazda,,Category
270,auto-car-nissan,Nissan,Nissan,,Category
271,auto-car-bmw,BMW,BMW,,Category
272,auto-car-mitsubishi,Mitsubishi,Mitsubishi,,Category
273,auto-car-mercedes-benz,Mercedes Benz,Mercedes Benz,,Category
274,auto-car-audi,Audi,Audi,,Category
275,auto-car-chevrolet,Chevrolet,Chevrolet,,Category
276,auto-car-ferrari,Ferrari,Ferrari,,Category
277,auto-car-hyundai,Hyundai,Hyundai,,Category
278,auto-car-jaguar,Jaguar,Jaguar,,Category
279,auto-car-lamborghini,Lamborghini,Lamborghini,,Category
280,auto-car-lexus,Lexus,Lexus,,Category
281,auto-car-mini,Mini,Mini,,Category
282,auto-car-porsche,Porsche,Porsche,,Category
283,auto-car-subaru,Subaru,Subaru,,Category
284,auto-car-suzuki,Suzuki,Suzuki,,Category
285,auto-car-volkswagen,Volkswagen,Volkswagen,,Category
286,auto-car-volvo,Volvo,Volvo,,Category
287,auto-car-alfa-romeo,Alfa Romeo,Alfa Romeo,,Category
288,auto-car-aston-martin,Aston Martin,Aston Martin,,Category
289,auto-car-bentley,Bentley,Bentley,,Category
290,auto-car-cadillac,Cadillac,Cadillac,,Category
291,auto-car-chery,Chery,Chery,,Category
292,auto-car-chrysler,Chysler,Chysler,,Category
293,auto-car-citroen,Citroen,Citroen,,Category
294,auto-car-dfm,DFM,DFM,,Category
295,auto-car-daihatsu,Daihatsu,Daihatsu,,Category
296,auto-car-datsun,Datsun,Datsun,,Category
297,auto-car-dodge,Dodge,Dodge,,Category
298,auto-car-fiat,Fiat,Fiat,,Category
299,auto-car-hummer,Hummer,Hummer,,Category
300,auto-car-jeep,Jeep,Jeep,,Category
301,auto-car-kia,Kia,Kia,,Category
302,auto-car-land-rover,Land Rover,Land Rover,,Category
303,auto-car-lotus,Lotus,Lotus,,Category
304,auto-car-mg,MG,MG,,Category
305,auto-car-maserati,Maserati,Maserati,,Category
306,auto-car-mclaren,McLaren,McLaren,,Category
307,auto-car-peugeot,Peugeot,Peugeot,,Category
308,auto-car-proton,Proton,Proton,,Category
309,auto-car-rolls-royce,Rolls Royce,Rolls Royce,,Category
310,motorcycle,Motorocycle,จักรยานยนต์,,Category
311,change_category,Change category,เปลี่ยนหมวดหมู่,,
312,sell_select_category,Select a Category that match your product,เลือกหมวดหมู่ที่ตรงกับสินค้าของคุณ,,
313,product_detail,Product Detail,ข้อมูลสินค้า,,
314,product_name,Product Name,หัวข้อชื่อสินค้า,,
315,product_name_placeholder,Product Name ex. iphone x silver 64gb,ชื่อสินค้า เช่น iphone x สีเงิน 64gb,,
316,remove,Remove,ลบ,,
317,decs_placeholder,Add description ex. condition of item,เพิ่มรายละเอียด เช่น อายุการใช้งานของสินค้า,,
318,price_placeholder,Enter the price,ระบุราคาที่ต้องการเสนอ,,
319,condition,Condition,สภาพ,,
320,condition_placeholder,Enter the condition of the item,ระบุสภาพของสินค้า,,
321,finish,Finish,เสร็จสิ้น,,
